"","RecordType","Latitude","Longitude","ZIP","VIN","MAKE","MODEL","BODY","YEAR","SELLER","CITY","COUNTYNUM","WGT","STATE","MON","NewUsed","RecodedType","Geography","NewZips","CarCount","Dealer"
"34","CarSale",21.45,-157.85,96744,"19XFB2F8XCE355444","HOND","CIVIC EX","4D",2012,"AUTONATION HONDA ROSEVILLE","KANEOHE",NA,"P","HI",201505,"Used",2,0,96744,1,NA
"2268","CarSale",32.72,-117.17,92101,"19XFB2F8XFE264906","HOND","CIVIC EX","4D",2015,"ELK GROVE HONDA","SAN DIEGO",73,"P","CA",201509,"New",1,0,92101,1,NA
"3324","CarSale",32.96,-117.2,92130,"2HKRM4H53FH643781","HOND","CR-V EX","UT",2015,"ELK GROVE HONDA","SAN DIEGO",73,"P","CA",201505,"New",1,0,92130,1,NA
"3597","CarSale",33.05,-117.25,92024,"3CZRU6H52GM709593","HOND","HR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","ENCINITAS",73,"P","CA",201507,"New",1,0,92024,1,NA
"4435","CarSale",33.41,-117.31,92028,"3HGGK5H5XFM763740","HOND","FIT LX","5D",2015,"ELK GROVE HONDA","FALLBROOK",73,"P","CA",201503,"New",1,0,92028,1,NA
"5138","CarSale",33.63,-117.4,92530,"5FNRL38719B048381","HOND","ODYSSEY EXL","VN",2009,"AUTONATION HONDA ROSEVILLE","LAKE ELSINORE",65,"P","CA",201510,"Used",2,0,92530,1,NA
"7834","CarSale",33.81,-117.83,92867,"1HGCR2F33FA165481","HOND","ACCORD LX","4D",2015,"ELK GROVE HONDA","ORANGE",59,"P","CA",201508,"New",1,0,92867,1,NA
"7863","CarSale",33.82,-118.26,90745,"2HKRM4H38FH614842","HOND","CR-V LX","UT",2015,"AUTONATION HONDA ROSEVILLE","CARSON",37,"P","CA",201503,"New",1,0,90745,1,NA
"8209","CarSale",33.83,-118.31,90501,"5J6RM4H95FL089362","HOND","CR-V TOUR","UT",2015,"ELK GROVE HONDA","TORRANCE",37,"P","CA",201511,"New",1,0,90501,1,NA
"9453","CarSale",33.93,-117.88,92821,"1HGCR2F31FA172252","HOND","ACCORD LX","4D",2015,"AUTONATION HONDA ROSEVILLE","BREA",59,"P","CA",201506,"New",1,0,92821,1,NA
"9514","CarSale",33.94,-118.33,90303,"1HGCP2F41AA109661","HOND","ACCORD LX-P","4D",2010,"AUTONATION HONDA ROSEVILLE","INGLEWOOD",37,"P","CA",201504,"Used",2,0,90303,1,NA
"27158","CarSale",34.03,-118.47,90404,"19XFB2E57FE042315","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","SANTA MONICA",37,"P","CA",201512,"New",1,0,90404,1,NA
"27196","CarSale",34.03,-118.4,90034,"19XFB2F7XFE283009","HOND","CIVIC SE","CP",2015,"ELK GROVE HONDA","LOS ANGELES",37,"P","CA",201509,"New",1,0,90034,1,NA
"27375","CarSale",34.05,-118.45,90025,"5FNRL5H63FB122656","HOND","ODYSSEY EXL","VN",2015,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201508,"New",1,0,90025,1,NA
"27451","CarSale",34.05,-118.26,90017,"JHMZE2H74ES001507","HOND","INSIGHT EX","5D",2014,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201508,"New",1,0,90017,1,NA
"27824","CarSale",34.06,-117.67,91762,"1HGCR2F70FA180278","HOND","ACCORD EX","4D",2015,"AUTONATION HONDA ROSEVILLE","ONTARIO",71,"P","CA",201509,"New",1,0,91762,1,NA
"28349","CarSale",34.08,-117.74,91767,"JHMCR5F70EC000136","HOND","ACCORD PLUG","4D",2014,"ELK GROVE HONDA","POMONA",37,"P","CA",201506,"Used",2,0,91767,1,NA
"29555","CarSale",34.17,-118.95,91320,"1HGCR3F88FA032216","HOND","ACCORD EX-L","4D",2015,"AUTONATION HONDA ROSEVILLE","NEWBURY PARK",111,"P","CA",201507,"New",1,0,91320,1,NA
"31688","CarSale",34.39,-117.13,92308,"2HKRM3H71FH524090","HOND","CR-V EX-L","UT",2015,"AUTONATION HONDA ROSEVILLE","APPLE VALLEY",71,"P","CA",201505,"New",1,0,92308,1,NA
"31789","CarSale",34.42,-119.71,93101,"1HGCR2F7XFA134585","HOND","ACCORD EX","4D",2015,"AUTONATION HONDA ROSEVILLE","SANTA BARBARA",83,"P","CA",201506,"New",1,0,93101,1,NA
"32188","CarSale",34.5,-120.12,93117,"19XFB2F53FE271475","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","GOLETA",83,"P","CA",201508,"New",1,0,93117,1,NA
"32399","CarSale",34.6,-118.22,93551,"19XFB2F97FE218958","HOND","CIVIC EX-L","4D",2015,"AUTONATION HONDA ROSEVILLE","PALMDALE",37,"P","CA",201502,"New",1,0,93551,1,NA
"33220","CarSale",35.16,-120.65,93449,"5FNYF3H52CB031579","HOND","PILOT EXL","UT",2012,"AUTONATION HONDA ROSEVILLE","PISMO BEACH",79,"P","CA",201501,"Used",2,0,93449,1,NA
"33425","CarSale",35.21,-119.05,93313,"1HGCR2F31FA157539","HOND","ACCORD LX","4D",2015,"AUTONATION HONDA ROSEVILLE","BAKERSFIELD",29,"P","CA",201507,"New",1,0,93313,1,NA
"33712","CarSale",35.28,-120.74,93405,"19XFB2F54FE251767","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","SN LUIS OBISP",79,"P","CA",201508,"New",1,0,93405,1,NA
"34694","CarSale",35.49,-119.3,93263,"JHLRM3H56CC008588","HOND","CR-V EX","UT",2012,"ELK GROVE HONDA","SHAFTER",29,"P","CA",201503,"Used",2,0,93263,1,NA
"35560","CarSale",35.97,-115.1,89052,"5FNYF3H45FB026985","HOND","PILOT EX","UT",2015,"AUTONATION HONDA ROSEVILLE","HENDERSON",NA,"P","NV",201505,"New",1,0,89052,1,NA
"38276","CarSale",36.12,-115.34,89135,"5FNRL5H62FB073062","HOND","ODYSSEY EXL","VN",2015,"ELK GROVE HONDA","LAS VEGAS",NA,"P","NV",201504,"New",1,0,89135,1,NA
"38345","CarSale",36.15,-121.07,93930,"2HGFB2F87FH516164","HOND","CIVIC EX","4D",2015,"AUTONATION HONDA ROSEVILLE","KING CITY",53,"P","CA",201503,"New",1,0,93930,1,NA
"42680","CarSale",36.28,-119.85,93245,"1HGCR2F57FA258120","HOND","ACCORD SPRT","4D",2015,"AUTONATION HONDA ROSEVILLE","LEMOORE",31,"P","CA",201509,"New",1,0,93245,1,NA
"43158","CarSale",36.3,-119.38,93277,"JHMZE2H79DS001906","HOND","INSIGHT EX","5D",2013,"AUTONATION HONDA ROSEVILLE","VISALIA",107,"P","CA",201502,"Used",2,0,93277,1,NA
"43402","CarSale",36.39,-119.38,93291,"3HGGK5H89FM725989","HOND","FIT EX-L","5D",2015,"AUTONATION HONDA ROSEVILLE","VISALIA",107,"P","CA",201503,"New",1,0,93291,1,NA
"44380","CarSale",36.58,-121.84,93940,"3HGGK5H88FM780224","HOND","FIT EX-L","5D",2015,"AUTONATION HONDA ROSEVILLE","MONTEREY",53,"P","CA",201507,"New",1,0,93940,1,NA
"44532","CarSale",36.6,-121.92,93944,"1N4CL2AP5AC161283","NISS","ALTIMA 2.5S","4D",2010,"ELK GROVE HONDA","MONTEREY",53,"P","CA",201502,"Used",2,0,93944,1,NA
"45570","CarSale",36.68,-121.78,93933,"19XFB2F58CE355951","HOND","CIVIC LX","4D",2012,"AUTONATION HONDA ROSEVILLE","MARINA",53,"P","CA",201506,"Used",2,0,93933,1,NA
"46772","CarSale",36.75,-119.7,93727,"1HGCR2F50GA044541","HOND","ACCORD SPRT","4D",2016,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201512,"New",1,0,93727,1,NA
"47043","CarSale",36.77,-121.66,93907,"19XFB2F86FE210499","HOND","CIVIC EX","4D",2015,"ELK GROVE HONDA","SALINAS",53,"P","CA",201502,"New",1,0,93907,1,NA
"47046","CarSale",36.77,-121.66,93907,"1HGCR6F72FA007756","HOND","ACCORD HYBR","4D",2015,"AUTONATION HONDA ROSEVILLE","SALINAS",53,"P","CA",201504,"New",1,0,93907,1,NA
"47328","CarSale",36.78,-121.75,95012,"5FNRL5H29FB114395","HOND","ODYSSEY LX","VN",2015,"AUTONATION HONDA ROSEVILLE","CASTROVILLE",53,"P","CA",201508,"New",1,0,95012,1,NA
"48613","CarSale",36.82,-119.76,93710,"1HGCR2F58FA093744","HOND","ACCORD SPRT","4D",2015,"ELK GROVE HONDA","FRESNO",19,"P","CA",201503,"New",1,0,93710,1,NA
"48753","CarSale",36.82,-119.71,93612,"2HGFB6E57FH701099","HOND","CIVIC Si","CP",2015,"AUTONATION HONDA ROSEVILLE","CLOVIS",19,"P","CA",201501,"New",1,0,93612,1,NA
"48755","CarSale",36.82,-119.71,93612,"1HGCR2F55FA068414","HOND","ACCORD SPRT","4D",2015,"AUTONATION HONDA ROSEVILLE","CLOVIS",19,"P","CA",201502,"New",1,0,93612,1,NA
"48759","CarSale",36.82,-119.71,93612,"1HGCT1B39FA003596","HOND","ACCORD LX-S","CP",2015,"AUTONATION HONDA ROSEVILLE","CLOVIS",19,"P","CA",201503,"New",1,0,93612,1,NA
"50171","CarSale",36.86,-119.77,93720,"5J6RM4H90FL045950","HOND","CR-V TOUR","UT",2015,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201504,"New",1,0,93720,1,NA
"50590","CarSale",36.9,-121.32,95023,"2HGFB2F89DH518169","HOND","CIVIC EX","4D",2013,"AUTONATION HONDA ROSEVILLE","HOLLISTER",69,"P","CA",201509,"Used",2,0,95023,1,NA
"50600","CarSale",36.9,-121.32,95023,"1FADP3F24DL342164","FORD","FOCUS SE","4D",2013,"AUTONATION HONDA ROSEVILLE","HOLLISTER",69,"P","CA",201511,"Used",2,0,95023,1,NA
"51525","CarSale",36.91,-119.59,93619,"5FNYF4H68FB044856","HOND","PILOT EXL","UT",2015,"AUTONATION HONDA ROSEVILLE","CLOVIS",19,"P","CA",201507,"New",1,0,93619,1,NA
"51879","CarSale",36.94,-121.75,95076,"1N4CL2AP5AC161719","NISS","ALTIMA 2.5S","4D",2010,"AUTONATION HONDA ROSEVILLE","WATSONVILLE",87,"P","CA",201512,"Used",2,0,95076,1,NA
"51948","CarSale",36.94,-121.75,95076,"1HGCR2F39GA031026","HOND","ACCORD LX","4D",2016,"AUTONATION HONDA ROSEVILLE","WATSONVILLE",87,"P","CA",201511,"New",1,0,95076,1,NA
"52107","CarSale",36.97,-121.99,95062,"1HGCR2F54GA021246","HOND","ACCORD SPRT","4D",2016,"AUTONATION HONDA ROSEVILLE","SANTA CRUZ",87,"P","CA",201512,"New",1,0,95062,1,NA
"52297","CarSale",36.98,-121.9,95001,"5FPYK1F50EB010422","HOND","RIDGELINE","PU",2014,"AUTONATION HONDA ROSEVILLE","APTOS",87,"P","CA",201503,"New",1,0,95001,1,NA
"54155","CarSale",37.01,-121.88,95003,"5J6RM4H36DL074085","HOND","CR-V LX","UT",2013,"AUTONATION HONDA ROSEVILLE","APTOS",87,"P","CA",201506,"Used",2,0,95003,1,NA
"54168","CarSale",37.01,-121.88,95003,"19XFB2F57FE702271","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","APTOS",87,"P","CA",201511,"New",1,0,95003,1,NA
"54478","CarSale",37.03,-122.12,95060,"2HGFG3B57FH526194","HOND","CIVIC LX","CP",2015,"AUTONATION HONDA ROSEVILLE","SANTA CRUZ",87,"P","CA",201512,"New",1,0,95060,1,NA
"55708","CarSale",37.09,-121.6,95046,"JTEBU5JR7C5100476","TOYT","4RUNNER SR5","UT",2012,"AUTONATION HONDA ROSEVILLE","SAN MARTIN",85,"P","CA",201510,"Used",2,0,95046,1,NA
"56097","CarSale",37.12,-117.95,93513,"19XFB2F94FE229240","HOND","CIVIC EX-L","4D",2015,"AUTONATION HONDA ROSEVILLE","BIG PINE",27,"P","CA",201503,"New",1,0,93513,1,NA
"56350","CarSale",37.14,-121.68,95037,"2HGFB2F55DH560800","HOND","CIVIC LX","4D",2013,"AUTONATION HONDA ROSEVILLE","MORGAN HILL",85,"P","CA",201504,"Used",2,0,95037,1,NA
"56443","CarSale",37.14,-121.68,95037,"5FNYF6H96GB027304","HOND","PILOT TOUR","UT",2016,"AUTONATION HONDA ROSEVILLE","MORGAN HILL",85,"P","CA",201510,"New",1,0,95037,1,NA
"56445","CarSale",37.14,-121.68,95037,"19XFB2F52CE354598","HOND","CIVIC LX","4D",2012,"AUTONATION HONDA ROSEVILLE","MORGAN HILL",85,"P","CA",201510,"Used",2,0,95037,1,NA
"56450","CarSale",37.14,-121.68,95037,"1HGCT1B82DA011984","HOND","ACCORD EX-L","CP",2013,"AUTONATION HONDA ROSEVILLE","MORGAN HILL",85,"P","CA",201511,"Used",2,0,95037,1,NA
"56878","CarSale",37.17,-121.85,95120,"3HGGK5H87FM783809","HOND","FIT EX-L","5D",2015,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201507,"New",1,0,95120,1,NA
"56883","CarSale",37.17,-121.85,95120,"5FNRL5H46DB090913","HOND","ODYSSEY EX","VN",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95120,1,NA
"56901","CarSale",37.17,-121.85,95120,"1HGCR3F80GA011734","HOND","ACCORD EX-L","4D",2016,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201512,"New",1,0,95120,1,NA
"57688","CarSale",37.17,-121.1,95322,"1HGCT1B77DA013768","HOND","ACCORD EX","CP",2013,"AUTONATION HONDA ROSEVILLE","GUSTINE",47,"P","CA",201510,"Used",2,0,95322,1,NA
"58322","CarSale",37.22,-121.93,95032,"WBA3A5C51CF342585","BMW","328i","4D",2012,"AUTONATION HONDA ROSEVILLE","LOS GATOS",85,"P","CA",201510,"Used",2,0,95032,1,NA
"58377","CarSale",37.22,-121.93,95032,"2HKRM3H74FH511480","HOND","CR-V EX-L","UT",2015,"ELK GROVE HONDA","LOS GATOS",85,"P","CA",201503,"New",1,0,95032,1,NA
"58419","CarSale",37.22,-121.78,95119,"5FNRL5H65FB006715","HOND","ODYSSEY EXL","VN",2015,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201501,"New",1,0,95119,1,NA
"58441","CarSale",37.22,-121.78,95119,"2HGFC2F76GH501984","HOND","CIVIC EX","4D",2016,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201511,"New",1,0,95119,1,NA
"58556","CarSale",37.22,-121.76,95139,"3TMMU4FN8EM071726","TOYT","TACOMA DCAB","PU",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95139,1,NA
"59060","CarSale",37.23,-120.49,95341,"1HGCP3F86CA019076","HOND","ACCORD EX 6","4D",2012,"AUTONATION HONDA ROSEVILLE","MERCED",47,"P","CA",201501,"Used",2,0,95341,1,NA
"59114","CarSale",37.23,-120.49,95341,"2HGFG3B55FH527781","HOND","CIVIC LX","CP",2015,"ELK GROVE HONDA","MERCED",47,"P","CA",201510,"New",1,0,95341,1,NA
"59539","CarSale",37.24,-121.83,95123,"2HGFB2F56CH558603","HOND","CIVIC LX","4D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201504,"Used",2,0,95123,1,NA
"59572","CarSale",37.24,-121.83,95123,"2HKRM3H79FH521387","HOND","CR-V EX-L","UT",2015,"ELK GROVE HONDA","SAN JOSE",85,"P","CA",201505,"New",1,0,95123,1,NA
"59582","CarSale",37.24,-121.83,95123,"1C4PJMFK9CW125317","JEP","LIBERTY JET","UT",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201502,"Used",2,0,95123,1,NA
"59588","CarSale",37.24,-121.83,95123,"4T1BB3EK0AU118909","TOYT","CAMRY","4D",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201504,"Used",2,0,95123,1,NA
"59603","CarSale",37.24,-121.83,95123,"2FMDK3KC8ABA76629","FORD","EDGE LTD","UT",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59604","CarSale",37.24,-121.83,95123,"WMWSS7C52EWN70408","MINI","COOPER S","3D",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59605","CarSale",37.24,-121.83,95123,"JN1AZ4EH1AM506935","NISS","370Z","CP",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59606","CarSale",37.24,-121.83,95123,"JTLZE4FE5DJ041859","TOYT","SCION xB","5D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59607","CarSale",37.24,-121.83,95123,"JTMBFREV7ED072863","TOYT","RAV4","UT",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59608","CarSale",37.24,-121.83,95123,"3TMJU4GN4AM092309","TOYT","TACOMA XCAB","PU",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95123,1,NA
"59626","CarSale",37.24,-121.83,95123,"2C3CDXCT0EH137852","DODG","CHARGER R/T","4D",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95123,1,NA
"59863","CarSale",37.26,-122.06,95070,"19XFB2F84FE271947","HOND","CIVIC EX","4D",2015,"AUTONATION HONDA ROSEVILLE","SARATOGA",85,"P","CA",201510,"New",1,0,95070,1,NA
"60173","CarSale",37.26,-121.92,95124,"19XFB2F55CE365479","HOND","CIVIC LX","4D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95124,1,NA
"60187","CarSale",37.26,-121.92,95124,"19XFB2F57DE018673","HOND","CIVIC LX","4D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201502,"Used",2,0,95124,1,NA
"60190","CarSale",37.26,-121.92,95124,"WDDGF5EB3BA516795","MERZ","C300","4D",2011,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95124,1,NA
"60203","CarSale",37.26,-121.92,95124,"2HKRM4H55FH678600","HOND","CR-V EX","UT",2015,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"New",1,0,95124,1,NA
"60663","CarSale",37.26,-121.77,95138,"3C4PDCAB9CT236898","DODG","JOURNEY SE","UT",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"Used",2,0,95138,1,NA
"60676","CarSale",37.26,-121.77,95138,"2HGFB2F84CH566449","HOND","CIVIC EX","4D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"Used",2,0,95138,1,NA
"60816","CarSale",37.26,-121.7,95135,"JHLRM4H77CC006128","HOND","CR-V EX-L","UT",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201512,"Used",2,0,95135,1,NA
"61092","CarSale",37.27,-121.85,95136,"2CNALDEC2B6230764","CHEV","EQUINOX 1LT","UT",2011,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95136,1,NA
"61121","CarSale",37.27,-121.85,95136,"WDDGF4HB8CR240185","MERZ","C250","CP",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201511,"Used",2,0,95136,1,NA
"61593","CarSale",37.28,-121.95,95008,"1HGCP2F83CA139346","HOND","ACCORD EX-L","4D",2012,"AUTONATION HONDA ROSEVILLE","CAMPBELL",85,"P","CA",201506,"Used",2,0,95008,1,NA
"61622","CarSale",37.28,-121.95,95008,"1C3CCBBG9EN144915","CHRY","200 TOURING","4D",2014,"AUTONATION HONDA ROSEVILLE","CAMPBELL",85,"P","CA",201511,"Used",2,0,95008,1,NA
"61705","CarSale",37.28,-121.95,95008,"4JGBB5GB3BA681805","MERZ","ML350","UT",2011,"AUTONATION HONDA ROSEVILLE","CAMPBELL",85,"P","CA",201511,"Used",2,0,95008,1,NA
"61712","CarSale",37.28,-121.95,95008,"JM1CW2CL1C0138454","MAZD","MAZDA5 TOUR","5D",2012,"AUTONATION HONDA ROSEVILLE","CAMPBELL",85,"P","CA",201512,"Used",2,0,95008,1,NA
"61883","CarSale",37.28,-121.82,95111,"19XFB2F84DE200891","HOND","CIVIC EX","4D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201502,"Used",2,0,95111,1,NA
"61891","CarSale",37.28,-121.82,95111,"1G1ZE5E75AF204845","CHEV","MALIBU LTZ","4D",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95111,1,NA
"61901","CarSale",37.28,-121.82,95111,"19XFB2F87CE380253","HOND","CIVIC EX","4D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95111,1,NA
"61910","CarSale",37.28,-121.82,95111,"JHMZE2H78CS002172","HOND","INSIGHT EX","5D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95111,1,NA
"63503","CarSale",37.28,-121.63,94550,"1GKFK03219R210055","GMC","YUKON 4x4","UT",2009,"AUTONATION HONDA ROSEVILLE","LIVERMORE",1,"P","CA",201507,"Used",2,0,94550,1,NA
"63504","CarSale",37.28,-121.63,94550,"JTDKN3DU2A1166556","TOYT","PRIUS","4D",2010,"AUTONATION HONDA ROSEVILLE","LIVERMORE",1,"P","CA",201507,"Used",2,0,94550,1,NA
"63521","CarSale",37.28,-121.63,94550,"5UXZV4C5XCL764284","BMW","X5 xDRIVE35","UT",2012,"AUTONATION HONDA ROSEVILLE","LIVERMORE",1,"P","CA",201508,"Used",2,0,94550,1,NA
"63558","CarSale",37.28,-121.63,94550,"2HKRM4H53FH688364","HOND","CR-V EX","UT",2015,"ELK GROVE HONDA","LIVERMORE",1,"P","CA",201510,"New",1,0,94550,1,NA
"64022","CarSale",37.29,-121.95,95009,"2HGFB2F65CH544409","HOND","CIVIC HF","4D",2012,"AUTONATION HONDA ROSEVILLE","CAMPBELL",85,"P","CA",201505,"Used",2,0,95009,1,NA
"64323","CarSale",37.3,-121.89,95125,"1HGCT2B85FA007937","HOND","ACCORD EX-L","CP",2015,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201507,"New",1,0,95125,1,NA
"64346","CarSale",37.3,-121.89,95125,"2C3CDYAG8DH553786","DODG","CHALLENGER","CP",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"Used",2,0,95125,1,NA
"64586","CarSale",37.3,-121.8,95121,"1HGCR2F86EA205093","HOND","ACCORD EX-L","4D",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95121,1,NA
"64640","CarSale",37.3,-121.8,95121,"1C3CCBAB9EN206951","CHRY","200 LX","4D",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95121,1,NA
"66510","CarSale",37.3,-120.64,95301,"1HGCR2F59FA135614","HOND","ACCORD SPRT","4D",2015,"AUTONATION HONDA ROSEVILLE","ATWATER",47,"P","CA",201505,"New",1,0,95301,1,NA
"66532","CarSale",37.3,-120.64,95301,"19XFB2F93FE249611","HOND","CIVIC EX-L","4D",2015,"ELK GROVE HONDA","ATWATER",47,"P","CA",201506,"New",1,0,95301,1,NA
"67230","CarSale",37.3,-120.64,95301,"19XFB2F9XFE269161","HOND","CIVIC EX-L","4D",2015,"ELK GROVE HONDA","ATWATER",47,"P","CA",201509,"New",1,0,95301,1,NA
"67449","CarSale",37.31,-122.08,95014,"JF2GPACC9E8281974","SUBA","XV CROSSTRK","UT",2014,"AUTONATION HONDA ROSEVILLE","CUPERTINO",85,"P","CA",201506,"Used",2,0,95014,1,NA
"67670","CarSale",37.31,-122,95129,"1HGCR2F36DA139566","HOND","ACCORD LX","4D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201512,"Used",2,0,95129,1,NA
"67803","CarSale",37.31,-121.96,95117,"JF2SHADC0BH771351","SUBA","FORESTER X","UT",2011,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201502,"Used",2,0,95117,1,NA
"67806","CarSale",37.31,-121.96,95117,"5NPDH4AE5BH059787","HYUN","ELANTRA GLS","4D",2011,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95117,1,NA
"67810","CarSale",37.31,-121.96,95117,"5FNYF5H71GB005364","HOND","PILOT EXL","UT",2016,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"New",1,0,95117,1,NA
"67812","CarSale",37.31,-121.96,95117,"5TFFY5F1XAX089665","TOYT","TUNDRA CM","PU",2010,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"Used",2,0,95117,1,NA
"70456","CarSale",37.31,-121.14,95360,"1HGCR2F74FA183412","HOND","ACCORD EX","4D",2015,"FOLSOM LAKE HONDA","NEWMAN",99,"","CA",201507,"New",1,1,95360,1,NA
"70956","CarSale",37.31,-121.14,95360,"1HGCR2F53FA180709","HOND","ACCORD SPRT","4D",2015,"FOLSOM LAKE HONDA","NEWMAN",99,"","CA",201507,"New",1,1,95360,1,NA
"72359","CarSale",37.32,-121.94,95128,"5XYZK3AB2CG133182","HYUN","SANTA FE","UT",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201509,"Used",2,0,95128,1,NA
"72361","CarSale",37.32,-121.94,95128,"2C4RDGCG6ER429363","DODG","GR CARAVAN","VN",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201510,"Used",2,0,95128,1,NA
"72367","CarSale",37.32,-121.94,95128,"5NPEB4AC9DH597559","HYUN","SONATA GLS","4D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201511,"Used",2,0,95128,1,NA
"72373","CarSale",37.32,-121.94,95128,"WDDGF4HB3EG245776","MERZ","C250","CP",2014,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201512,"Used",2,0,95128,1,NA
"72387","CarSale",37.32,-121.94,95128,"1C3BC8FGXBN567541","CHRY","200 S","4D",2011,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201505,"Used",2,0,95128,1,NA
"72419","CarSale",37.32,-121.94,95128,"5FNRL5H47FB084508","HOND","ODYSSEY EX","VN",2015,"ELK GROVE HONDA","SAN JOSE",85,"P","CA",201507,"New",1,0,95128,1,NA
"72600","CarSale",37.33,-121.92,95126,"2HGFB2F52FH519401","HOND","CIVIC LX","4D",2015,"ELK GROVE HONDA","SAN JOSE",85,"P","CA",201502,"New",1,0,95126,1,NA
"72626","CarSale",37.33,-121.92,95126,"5XXGR4A6XDG135313","KIA","OPTIMA SX T","4D",2013,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201508,"Used",2,0,95126,1,NA
"72848","CarSale",37.33,-121.84,95122,"JH4CU2F83CC007472","ACUR","TSX SPECIAL","4D",2012,"AUTONATION HONDA ROSEVILLE","SAN JOSE",85,"P","CA",201501,"Used",2,0,95122,1,NA
"72872","CarSale",37.33,-121.84,95122,"3HGGK5H53FM787667","HOND","FIT LX","5D",2015,"ELK GROVE HONDA","SAN JOSE",85,"P","CA",201508,"New",1,0,95122,1,NA
